Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Durban Campus,It,I Am A Developer By Profession,Engineering Manager,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Typescript,Cosmos Db;Microsoft Sql Server,Microsoft Azure,Asp.net Core;Vue.js,Other,Bing Ai;Chatgpt,Rubber Duck.ai,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Html/Css;Javascript;Powershell;Sql;Typescript,Microsoft Sql Server,Microsoft Azure,Angular;Asp.net;Asp.net Core,"Manufacturing, Transportation, Or Supply Chain",Unknown,Codeium;Github Copilot,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);C;C#;C++;Haskell;Html/Css;Javascript;Lua;Matlab;Perl;Php;Prolog;Python;Sql,Microsoft Access;Microsoft Sql Server;Mongodb;Mysql;Sqlite,Unknown,Angular;Django;Flask;Vue.js,Higher Education,Wolframalpha,Aws Codewhisperer;Github Copilot;Mintlify,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript,Firebase Realtime Database;Mongodb,Firebase;Heroku;Netlify;Render;Vercel,Express;Next.js;Node.js;React,Financial Services,Chatgpt,Codeium;Synk Code;Whispr Ai,"Employed, Part-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Assembly;Bash/Shell (All Shells);C;C++;Dart;Html/Css;Java;Javascript;Kotlin;Matlab;Php;Powershell;Python;R;Ruby;Rust;Scala;Sql;Typescript;Visual Basic (.Net),Cosmos Db;Dynamodb;Microsoft Sql Server;Mongodb;Mysql;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Ibm Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel,Deno;Next.js;Node.js;React;Ruby On Rails;Vue.js,Advertising Services,Bing Ai;Chatgpt,Aws Codewhisperer;Codeium;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Desktop Or Enterprise Applications","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C#;C++;Java;Javascript;Powershell;Sql,Firebird;Microsoft Access;Microsoft Sql Server;Postgresql,Unknown,Asp.net;Asp.net Core;Jquery,Healthcare,Unknown,Tabnine;Whispr Ai,"Employed, Full-Time;Student, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Dart;Html/Css;Javascript;Python;Sql;Typescript,Cloud Firestore;Dynamodb;Microsoft Sql Server;Mysql;Sqlite,Amazon Web Services (Aws);Cloudflare;Firebase;Netlify,Angular;Asp.net;Asp.net Core;Jquery;Node.js;React,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Github Copilot;Rubber Duck.ai,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);Go;Html/Css;Javascript;Lua;Perl;Php;Powershell;Python;Sql,Influxdb;Mariadb;Mongodb;Mysql;Oracle;Postgresql;Redis;Solr;Sqlite,Hetzner,Angular;Jquery;Node.js;React;Symfony,"Manufacturing, Transportation, Or Supply Chain",Unknown,Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Python;Sql,Influxdb;Postgresql,Amazon Web Services (Aws);Google Cloud,Django,Oil & Gas,Unknown,Aws Codewhisperer;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,Research & Development Role,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Java;Python,Mongodb,Unknown,React,Legal Services,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Tabnine;Whispr Ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,Data Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies","Senior Executive (C-Suite, Vp, Etc.)","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Python;Sql,Microsoft Sql Server;Postgresql,Openshift,Asp.net,Retail And Consumer Services,Unknown,Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Typescript,Postgresql,Unknown,Angular;Express;Node.js,"Information Services, It, Software Development, Or Other Technology",Unknown,Aws Codewhisperer;Synk Code,"Employed, Full-Time"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Groovy;Html/Css;Java;Javascript;Kotlin;Sql;Typescript,Mysql,Amazon Web Services (Aws),Jquery;Play Framework;React,Retail And Consumer Services,Chatgpt,Adrenaline;Github Copilot;Synk Code,"Employed, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Groovy;Java;Javascript;Lua;Sql,Mysql;Postgresql,Unknown,Jquery;Node.js,"Information Services, It, Software Development, Or Other Technology",Unknown,Aws Codewhisperer;Github Copilot;Replit Ghostwriter;Rubber Duck.ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,Unknown,Primary/Elementary School,Assembly;C;C#;C++;Html/Css;Java;Javascript;Php;Python;Typescript,Microsoft Access;Microsoft Sql Server;Mysql;Sqlite,Cloudflare;Heroku;Netlify;Oracle Cloud Infrastructure (Oci),Asp.net;Asp.net Core;Blazor;Node.js;React,Wholesale,Bing Ai;Chatgpt;Wolframalpha,Aws Codewhisperer;Whispr Ai,"Student, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Html/Css;Javascript,Mongodb,Unknown,Next.js;Node.js;React,Legal Services,Chatgpt;Google Bard Ai,Github Copilot;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Html/Css;Javascript;Php;Typescript,Mariadb;Mongodb;Mysql;Postgresql;Redis,Amazon Web Services (Aws);Cloudflare;Digital Ocean;Firebase,Angular;Angularjs;Codeigniter;Laravel,Healthcare,Chatgpt;Google Bard Ai,Github Copilot;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End",Some College/University Study Without Earning A Degree,C#;Html/Css;Javascript;Powershell;Sql,Microsoft Sql Server,Microsoft Azure,Asp.net;Jquery,Oil & Gas,Bing Ai;Chatgpt,Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Java;Kotlin;Powershell;Sql;Typescript,Microsoft Sql Server;Postgresql,Hetzner;Oracle Cloud Infrastructure (Oci),Asp.net;Jquery;Spring Boot,Other,Chatgpt;Wolframalpha,Aws Codewhisperer;Codeium;Github Copilot;Tabnine,"Employed, Part-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Desktop Or Enterprise Applications","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Sql,Mariadb;Microsoft Sql Server;Mongodb;Mysql;Postgresql,Unknown,Asp.net;Asp.net Core,Wholesale,Unknown,Codeium;Replit Ghostwriter,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Powershell;Python;Sql;Typescript,Mongodb;Mysql;Postgresql;Sqlite,Digital Ocean;Hetzner;Microsoft Azure,Angular;Django;Fastapi;Gatsby;Node.js;Vue.js,Advertising Services,Chatgpt;Wolframalpha,Aws Codewhisperer;Github Copilot;Synk Code,"Independent Contractor, Freelancer, Or Self-Employed"
Midrand Campus,Data Science,I Am A Developer By Profession,"Senior Executive (C-Suite, Vp, Etc.)","Associate Degree (A.a., A.s., Etc.)",Html/Css;Javascript;Php;Sql;Typescript,Firebase Realtime Database;Mongodb;Sqlite,Amazon Web Services (Aws);Firebase;Ovh,Express;Node.js;React,Higher Education,Chatgpt,Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C;C++;Html/Css;Javascript;Php;Sql,Mongodb;Mysql;Postgresql,Amazon Web Services (Aws);Google Cloud,Codeigniter;Jquery;Laravel;Node.js;React;Vue.js;Wordpress,"Information Services, It, Software Development, Or Other Technology",Unknown,Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C;C++;Dart;Html/Css;Java;Javascript;Python;Sql;Typescript,Mongodb;Mysql;Postgresql,Firebase;Heroku;Netlify,Express;Fastify;Node.js,Oil & Gas,Chatgpt,Adrenaline;Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End",Some College/University Study Without Earning A Degree,Javascript;Kotlin;Php;Python,Cockroachdb;Elasticsearch;Mysql;Redis,Openstack,Laravel;Nestjs,Advertising Services,Unknown,Tabnine,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Go;Html/Css;Javascript;Swift;Typescript,Elasticsearch;Mariadb;Mongodb;Mysql;Redis;Sqlite,Amazon Web Services (Aws);Cloudflare;Firebase,Node.js,Other,Chatgpt,Tabnine,"Employed, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,Cloud Infrastructure Engineer,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Java;Javascript;Python;Rust;Typescript,Cassandra;Mongodb;Postgresql;Redis,Amazon Web Services (Aws);Google Cloud;Microsoft Azure;Vmware,Angular;Asp.net Core;Django;Fastapi;Flask;Vue.js,Advertising Services,Chatgpt,Adrenaline;Github Copilot,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Front-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Javascript;Typescript,Mongodb;Postgresql,Unknown,Next.js;React,Wholesale,Chatgpt,Github Copilot;Synk Code;Tabnine,"Employed, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Go;Html/Css;Sql,Postgresql;Redis,Managed Hosting,Angular;Asp.net Core;React,Financial Services,Unknown,Github Copilot;Mintlify;Replit Ghostwriter,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Java;Javascript;Php;Powershell;Sql;Typescript,Elasticsearch;Microsoft Sql Server;Mysql;Redis,Microsoft Azure;Netlify;Openshift;Vercel;Vmware,Asp.net;Asp.net Core;Blazor;Express;Jquery;Next.js;Node.js;React;Spring Boot;Svelte;Vue.js,Advertising Services,Chatgpt,Codeium;Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Sql;Typescript,Microsoft Sql Server;Mysql;Oracle,Amazon Web Services (Aws),Angular;Asp.net;Asp.net Core;Express;Jquery;Node.js;React,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Codeium;Github Copilot;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,I Code Primarily As A Hobby,Unknown,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C;C#;C++;Html/Css;Java;Javascript;Kotlin;Powershell;Python;Sql;Typescript,Mariadb;Microsoft Access;Mongodb,Vercel,Express;Jquery;Next.js;Node.js;React;Vue.js,Financial Services,Chatgpt,Rubber Duck.ai,"Student, Part-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Associate Degree (A.a., A.s., Etc.)",C#;Java;Javascript;Python,Cosmos Db;Microsoft Sql Server,Microsoft Azure,Asp.net Core,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Javascript;Python,Elasticsearch;Mongodb,Amazon Web Services (Aws);Vercel,Angular;Angularjs;Express;Node.js;React,Advertising Services,Unknown,Aws Codewhisperer,"Student, Full-Time"
Durban Campus,It,"I Used To Be A Developer By Profession, But No Longer Am",Devops Specialist,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Javascript;Python;Sql,Microsoft Sql Server,Amazon Web Services (Aws),Asp.net;Node.js,Retail And Consumer Services,Chatgpt,Adrenaline;Github Copilot;Rubber Duck.ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed;Not Employed, But Looking For Work"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Groovy;Java;Javascript;Python;Typescript,Dynamodb;H2;Mysql;Oracle,Amazon Web Services (Aws);Vmware,Express;Flask;Node.js;Spring Boot,Financial Services,Chatgpt,Whispr Ai,"Employed, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Javascript;Typescript,Cloud Firestore;Mongodb;Mysql;Postgresql,Digital Ocean;Firebase;Google Cloud,Express;Nestjs;React,Healthcare,Chatgpt;Google Bard Ai,Adrenaline;Github Copilot;Mintlify;Replit Ghostwriter;Synk Code,"Independent Contractor, Freelancer, Or Self-Employed;Student, Full-Time"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Front-End","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);C;C#;C++;Html/Css;Java;Javascript;Kotlin;Php;Powershell;Python;Sql;Typescript;Vba,Mariadb;Microsoft Sql Server;Mongodb;Mysql,Google Cloud;Microsoft Azure,Jquery;Node.js;React;Wordpress,Insurance,Chatgpt,Adrenaline;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,Other (Please Specify):,Some College/University Study Without Earning A Degree,Ada;C;C++;Go;Java;Lua;Prolog,Neo4j;Oracle;Sqlite,Amazon Web Services (Aws);Cloudflare;Ovh;Vmware,Wordpress,Financial Services,Unknown,Codeium;Github Copilot;Synk Code,"Independent Contractor, Freelancer, Or Self-Employed"
Midrand Campus,Data Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Project Manager,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Java;Javascript;Python;Sql;Typescript,Cosmos Db;Elasticsearch;H2;Microsoft Sql Server;Mongodb;Oracle,Amazon Web Services (Aws);Microsoft Azure;Openshift,Angular;Blazor;Fastapi;Node.js;Spring Boot,Advertising Services,Unknown,Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Front-End",Some College/University Study Without Earning A Degree,Javascript,Postgresql,Unknown,React,Higher Education,Unknown,Aws Codewhisperer;Tabnine,"Employed, Full-Time"
Midrand Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Python;Sql,Influxdb;Mariadb;Microsoft Sql Server;Mysql;Postgresql,Unknown,Fastapi,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Aws Codewhisperer;Replit Ghostwriter;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Javascript;Powershell;Python;Sql,Elasticsearch;Microsoft Sql Server,Unknown,Asp.net;Asp.net Core,Oil & Gas,Bing Ai;Chatgpt,Aws Codewhisperer,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,Academic Researcher,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Dart;Html/Css;Java;Javascript;Kotlin;Python;R;Sql;Typescript,Cloud Firestore;Firebase Realtime Database;Mysql;Postgresql,Amazon Web Services (Aws);Firebase;Google Cloud;Microsoft Azure,Express;Fastapi;Flask;Node.js;Vue.js;Wordpress,Oil & Gas,Bing Ai;Chatgpt;Google Bard Ai,Adrenaline;Tabnine,"Student, Full-Time;Employed, Part-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);C;C#;C++;Java;Javascript;Python;Sql,Microsoft Sql Server;Postgresql;Sqlite,Unknown,Asp.net Core;Blazor,Legal Services,Chatgpt,Github Copilot;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Game Or Graphics",Some College/University Study Without Earning A Degree,Go;Html/Css;Javascript;Php;Python;Rust;Sql;Typescript,Mysql;Neo4j;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Cloudflare;Digital Ocean;Managed Hosting;Ovh,Laravel;Node.js;React,Other,Chatgpt,Adrenaline;Github Copilot;Synk Code,"Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack",Something Else,C#;Html/Css;Javascript;Lua;Php;Powershell;Python;Typescript,Microsoft Sql Server;Mysql,Microsoft Azure,Angular;Angularjs;Asp.net;Asp.net Core;Blazor;Jquery;Node.js;React;Svelte;Symfony;Wordpress,Legal Services,Unknown,Aws Codewhisperer;Github Copilot;Mintlify;Tabnine,"Employed, Part-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Php,Mysql,Digital Ocean;Firebase;Google Cloud;Vmware,Jquery;React;Symfony,Retail And Consumer Services,Chatgpt,Github Copilot;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Desktop Or Enterprise Applications","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Javascript;Php;Typescript,Elasticsearch;H2;Mariadb;Microsoft Sql Server;Mongodb;Mysql,Amazon Web Services (Aws);Cloudflare;Digital Ocean,Laravel;Nuxt.js;Vue.js,Financial Services,Chatgpt,Adrenaline;Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Groovy;Html/Css;Java;Javascript;Kotlin;Python;Sql;Typescript,Postgresql,Digital Ocean;Google Cloud,Angular;Django;Node.js;Spring Boot,Wholesale,Bing Ai;Chatgpt,Aws Codewhisperer;Replit Ghostwriter;Tabnine,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Java;Python;Sql;Typescript,Microsoft Sql Server;Mysql;Sqlite,Firebase,Angular,Other,Chatgpt,Adrenaline;Codeium;Github Copilot,"Employed, Full-Time"
